file	total	auth_any	unauth	auth_signature	auth_decorator	auth_router
backend/app/api/medidata_rave.py	7	0	7	0	0	0
backend/app/api/model_evaluation.py	7	0	7	0	0	0
backend/app/api/network_segmentation.py	7	0	7	0	0	0
backend/app/api/policy.py	7	0	7	0	0	0
backend/app/api/quality/quality_reports.py	7	0	7	0	0	0
backend/app/api/quality_measures.py	7	0	7	0	0	0
backend/app/api/rfp_management.py	7	0	7	0	0	0
backend/app/api/scalability_audit.py	7	7	0	7	7	0
backend/app/api/search.py	7	0	7	0	0	0
backend/app/api/semantic_search.py	7	0	7	0	0	0
backend/app/api/soc2_compliance.py	7	0	7	0	0	0
backend/app/api/veeva_vault.py	7	0	7	0	0	0
backend/app/api/visualizations.py	7	0	7	0	0	0
backend/app/api/coding_assistant.py	6	0	6	0	0	0
backend/app/api/cohort_phenotypes.py	6	0	6	0	0	0
backend/app/api/consent.py	6	0	6	0	0	0
backend/app/api/gold_standard.py	6	0	6	0	0	0
backend/app/api/hcc_analysis.py	6	0	6	0	0	0
backend/app/api/iac_management.py	6	0	6	0	0	0
backend/app/api/incidents.py	6	0	6	0	0	0
backend/app/api/integration_roadmap.py	6	0	6	0	0	0
backend/app/api/knowledge_graph_fhir.py	6	0	6	0	0	0
backend/app/api/llm.py	6	0	6	0	0	0
backend/app/api/observability.py	6	6	0	6	6	0
backend/app/api/quality/quality_checks.py	6	0	6	0	0	0
backend/app/api/secret_rotation.py	6	0	6	0	0	0
backend/app/api/terminology_governance.py	6	0	6	0	0	0
backend/app/api/timeline.py	6	0	6	0	0	0
backend/app/api/validation_study.py	6	0	6	0	0	0
backend/app/api/auth_sessions.py	5	0	5	0	0	0
backend/app/api/cpt_suggestions.py	5	0	5	0	0	0
backend/app/api/diversity_analytics.py	5	5	0	5	0	0
backend/app/api/documents/documents_bulk.py	5	0	5	0	0	0
backend/app/api/documents/documents_core.py	5	0	5	0	0	0
backend/app/api/drug_safety.py	5	0	5	0	0	0
backend/app/api/sites.py	5	5	0	5	0	0
backend/app/api/vocabulary_mapping.py	5	0	5	0	0	0
backend/app/api/dashboard.py	4	0	4	0	0	0
backend/app/api/data_completeness.py	4	0	4	0	0	0
backend/app/api/etl_validation.py	4	0	4	0	0	0
backend/app/api/icd10_suggestions.py	4	0	4	0	0	0
backend/app/api/mapping_quality.py	4	0	4	0	0	0
backend/app/api/patients.py	4	4	0	4	0	0
backend/app/api/phenotypes.py	4	4	0	4	0	0
backend/app/api/screen_failure_analytics.py	4	4	0	4	0	0
backend/app/api/voice.py	4	0	4	0	0	0
backend/app/api/ai_audit.py	3	0	3	0	0	0
backend/app/api/criteria_fidelity.py	3	0	3	0	0	0
backend/app/api/data_quality_dqd.py	3	0	3	0	0	0
backend/app/api/differential_diagnosis.py	3	0	3	0	0	0
backend/app/api/documents/documents_search.py	3	0	3	0	0	0
backend/app/api/fhir_validation.py	3	0	3	0	0	0
backend/app/api/guidelines.py	3	0	3	0	0	0
backend/app/api/lineage.py	3	3	0	3	0	0
backend/app/api/risk.py	3	0	3	0	0	0
backend/app/api/sse.py	3	0	3	0	0	0
backend/app/api/agent_chat.py	2	2	0	2	0	0
backend/app/api/backup_status.py	2	0	2	0	0	0
backend/app/api/bulk_screening.py	2	2	0	2	0	0
backend/app/api/jobs.py	2	0	2	0	0	0
backend/app/api/med_reconciliation.py	2	0	2	0	0	0
backend/app/api/metrics.py	2	0	2	0	0	0
backend/app/api/middleware/sli_collector.py	2	0	2	0	0	0
backend/app/api/screening_results.py	2	2	0	2	0	0
backend/app/api/documents/documents_fhir.py	1	0	1	0	0	0
backend/app/api/export.py	1	0	1	0	0	0
backend/app/api/metriport_webhook.py	1	0	1	0	0	0
backend/app/api/pipeline_version.py	1	0	1	0	0	0
backend/app/api/roi_dashboard.py	1	1	0	1	0	0
backend/app/api/websocket.py	1	0	1	0	0	0
